Brand,search term, rating, number of ratings, search ranking, date
Cheerios,cereal,5.0,204,1,03/12/2015
Cheerios,cereal,5.0,204,14,03/12/2015
Cheerios,cereal,4.5,45,16,03/12/2015
Cheerios,cereal,5.0,4,23,03/12/2015
Cheerios,cereal,5.0,14,34,03/12/2015
Cheerios,cereal,5.0,16,40,03/12/2015
Cheerios,cereal,5.0,185,44,03/12/2015
Cheerios,cereal,4.5,22,65,03/12/2015
Cheerios,cereal,4.5,30,76,03/12/2015
Cheerios,cereal,4.5,29,80,03/12/2015
Cheerios,cereal,5.0,185,91,03/12/2015
Cheerios,cereal,5.0,10,105,03/12/2015
Cheerios,cereal,4.5,40,134,03/12/2015
Cheerios,cereal,4.5,39,141,03/12/2015
Cheerios,cereal,4.5,25,149,03/12/2015
Cheerios,cereal,4.5,32,151,03/12/2015
Cheerios,cereal,4.5,30,165,03/12/2015
Cheerios,cereal,5.0,17,183,03/12/2015
Cheerios,cereal,5.0,8,185,03/12/2015
Cheerios,cereal,4.5,13,186,03/12/2015
Cheerios,cereal,5.0,14,206,03/12/2015
Cheerios,cereal,5.0,18,214,03/12/2015
Cheerios,cereal,4.5,45,245,03/12/2015
Cheerios,cereal,4.5,40,246,03/12/2015
Cheerios,cereal,5.0,204,253,03/12/2015
Cheerios,cereal,3.5,3,284,03/12/2015
Cheerios,cereal,4.5,38,306,03/12/2015
Cheerios,cereal,5.0,10,403,03/12/2015
Cheerios,cereal,-1.0,-1,439,03/12/2015
Cheerios,cereal,4.5,18,738,03/12/2015
Cheerios,cereal,5.0,2,742,03/12/2015
Cheerios,cold cereal,5.0,204,1,03/12/2015
Cheerios,cold cereal,5.0,185,6,03/12/2015
Cheerios,cold cereal,5.0,204,8,03/12/2015
Cheerios,cold cereal,4.5,22,25,03/12/2015
Cheerios,cold cereal,4.5,45,26,03/12/2015
Cheerios,cold cereal,5.0,185,29,03/12/2015
Cheerios,cold cereal,5.0,14,35,03/12/2015
Cheerios,cold cereal,5.0,16,38,03/12/2015
Cheerios,cold cereal,4.5,29,58,03/12/2015
